,match,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
501,New Zealand Vs Netherlands,Ryan Klein,7,1,41,0,5.85,25,7,0,1,0
502,New Zealand Vs Netherlands,Paul van Meekeren,9,0,59,2,6.55,28,7,2,0,1
503,New Zealand Vs Netherlands,Roelof van der Merwe,9,0,56,2,6.22,20,5,1,0,0
504,New Zealand Vs Netherlands,Colin Ackermann,4,0,28,0,7.00,9,1,2,0,0
505,New Zealand Vs Netherlands,Bas de Leede,10,0,64,1,6.40,28,6,2,0,1
506,New Zealand Vs Netherlands,Vikramjit Singh,1,0,9,0,9.00,1,1,0,0,0
507,New Zealand Vs Netherlands,Trent Boult,8,0,34,0,4.25,29,3,0,1,0
508,New Zealand Vs Netherlands,Matt Henry,8.3,0,40,3,4.70,29,4,0,0,0
509,New Zealand Vs Netherlands,Mitchell Santner,10,0,59,5,5.90,30,4,2,0,0
510,New Zealand Vs Netherlands,Lockie Ferguson,8,0,32,0,4.00,31,5,0,0,0
511,New Zealand Vs Netherlands,Rachin Ravindra,10,0,46,1,4.60,30,3,1,0,1
512,New Zealand Vs Netherlands,Glenn Phillips,2,0,11,0,5.50,2,0,0,0,0
513,Australia Vs India,Jasprit Bumrah,10,0,35,2,3.50,41,1,1,4,0
514,Australia Vs India,Mohammed Siraj,6.3,1,26,1,4.00,26,3,0,2,0
515,Australia Vs India,Hardik Pandya,3,0,28,1,9.33,8,6,0,0,0
516,Australia Vs India,Ravichandran Ashwin,10,1,34,1,3.40,32,2,0,0,0
517,Australia Vs India,Kuldeep Yadav,10,0,42,2,4.20,31,2,1,0,0
518,Australia Vs India,Ravindra Jadeja,10,2,28,3,2.80,38,2,0,0,0
519,Australia Vs India,Mitchell Starc,8,0,31,1,3.87,28,2,0,3,0
520,Australia Vs India,Josh Hazlewood,9,1,38,3,4.22,33,3,1,1,0
521,Australia Vs India,Pat Cummins,6.2,0,33,0,5.21,19,2,1,1,1
522,Australia Vs India,Glenn Maxwell,8,0,33,0,4.12,24,1,1,0,0
523,Australia Vs India,Cameron Green,2,0,11,0,5.50,7,2,0,0,0
524,Australia Vs India,Adam Zampa,8,0,53,0,6.62,13,4,0,0,0
525,South Africa Vs Sri Lanka,Kasun Rajitha,10,1,90,1,9.00,24,8,5,2,0
526,South Africa Vs Sri Lanka,Dilshan Madushanka,10,0,86,2,8.60,25,12,1,3,1
527,South Africa Vs Sri Lanka,Dasun Shanaka,6,0,36,0,6.00,10,1,1,0,0
528,South Africa Vs Sri Lanka,Dhananjaya de Silva,4,0,39,0,9.75,9,4,2,1,0
529,South Africa Vs Sri Lanka,Matheesha Pathirana,10,0,95,1,9.50,22,10,2,5,0
530,South Africa Vs Sri Lanka,Dunith Wellalage,10,0,81,1,8.10,27,10,3,2,0
531,South Africa Vs Sri Lanka,Lungi Ngidi,8,1,49,1,6.12,30,3,4,2,0
532,South Africa Vs Sri Lanka,Marco Jansen,10,0,92,2,9.20,31,10,6,3,0
533,South Africa Vs Sri Lanka,Kagiso Rabada,7.5,0,50,2,6.38,22,3,2,2,1
534,South Africa Vs Sri Lanka,Keshav Maharaj,10,0,62,2,6.20,33,6,2,2,0
535,South Africa Vs Sri Lanka,Gerald Coetzee,9,0,68,3,7.55,26,7,3,1,0
536,Afghanistan Vs Bangladesh,Taskin Ahmed,6,0,32,1,5.33,23,3,1,1,0
537,Afghanistan Vs Bangladesh,Shoriful Islam,6.2,1,34,2,5.36,23,5,0,2,0
538,Afghanistan Vs Bangladesh,Mustafizur Rahman,7,1,28,1,4.00,26,2,1,0,0
539,Afghanistan Vs Bangladesh,Shakib Al Hasan,8,0,30,3,3.75,28,3,0,0,0
540,Afghanistan Vs Bangladesh,Mehidy Hasan Miraz,9,3,25,3,2.77,38,1,0,1,0
541,Afghanistan Vs Bangladesh,Mahmudullah,1,0,7,0,7.00,3,1,0,0,0
542,Afghanistan Vs Bangladesh,Fazalhaq Farooqi,5,0,19,1,3.80,22,2,0,2,0
543,Afghanistan Vs Bangladesh,Mujeeb Ur Rahman,7,0,30,0,4.28,26,3,1,0,0
544,Afghanistan Vs Bangladesh,Naveen-ul-Haq,5.4,0,31,1,5.47,14,2,0,1,1
545,Afghanistan Vs Bangladesh,Rashid Khan,9,0,48,0,5.33,24,5,0,0,0
546,Afghanistan Vs Bangladesh,Mohammad Nabi,6,1,18,0,3.00,20,0,0,1,0
547,Afghanistan Vs Bangladesh,Azmatullah Omarzai,2,0,9,1,4.50,7,1,0,0,0
548,Pakistan Vs Netherlands,Aryan Dutt,10,0,48,1,4.80,37,7,0,2,0
549,Pakistan Vs Netherlands,Logan van Beek,6,0,30,1,5.00,20,4,0,1,0
550,Pakistan Vs Netherlands,Colin Ackermann,8,1,39,2,4.87,26,1,2,0,0
551,Pakistan Vs Netherlands,Paul van Meekeren,6,0,40,1,6.66,16,5,0,2,0
552,Pakistan Vs Netherlands,Bas de Leede,9,0,62,4,6.88,22,9,0,3,0
553,Pakistan Vs Netherlands,Roelof van der Merwe,6,0,36,0,6.00,14,2,1,0,1
554,Pakistan Vs Netherlands,Vikramjit Singh,2,0,16,0,8.00,5,3,0,0,0
555,Pakistan Vs Netherlands,Saqib Zulfiqar,2,0,15,0,7.50,3,2,0,0,0
556,Pakistan Vs Netherlands,Shaheen Shah Afridi,7,0,37,1,5.28,26,5,0,2,0
557,Pakistan Vs Netherlands,Hasan Ali,7,1,33,2,4.71,31,6,0,4,0
558,Pakistan Vs Netherlands,Haris Rauf,9,0,43,3,4.77,33,5,1,2,0
559,Pakistan Vs Netherlands,Iftikhar Ahmed,3,0,16,1,5.33,7,1,0,0,0
560,Pakistan Vs Netherlands,Mohammad Nawaz,7,0,31,1,4.42,23,2,1,0,0
561,Pakistan Vs Netherlands,Shadab Khan,8,0,45,1,5.62,23,1,2,1,0
562,England Vs New Zealand,Trent Boult,10,1,48,1,4.80,34,3,2,1,0
563,England Vs New Zealand,Matt Henry,10,1,48,3,4.80,31,6,0,0,0
564,England Vs New Zealand,Mitchell Santner,10,0,37,2,3.70,26,0,0,1,0
565,England Vs New Zealand,James Neesham,7,0,56,0,8.00,15,5,2,2,0
566,England Vs New Zealand,Rachin Ravindra,10,0,76,1,7.60,14,6,2,0,0
567,England Vs New Zealand,Glenn Phillips,3,0,17,2,5.66,5,1,0,0,0
568,England Vs New Zealand,Chris Woakes,6,0,45,0,7.50,18,7,1,0,0
569,England Vs New Zealand,Sam Curran,6,2,47,1,7.83,17,6,1,2,0
570,England Vs New Zealand,Mark Wood,5,0,55,0,11.00,9,7,2,1,0
571,England Vs New Zealand,Moeen Ali,9.2,0,60,0,6.42,20,2,3,0,0
572,England Vs New Zealand,Adil Rashid,7,0,47,0,6.71,15,4,1,0,0
573,England Vs New Zealand,Liam Livingstone,3,0,24,0,8.00,7,4,0,0,0
